Kern Canyon (South Kern) 2011               	 -118.448700 	 36.057600 	 4.000000 	 0.000000 	 -0.000050 	 0.000050 	 0.000125 	 0.000075 	 0.000175 	 0.000124 	 -0.000100 	 -0.000149 	 -0.000009 	 0.000007 	 0.000010 	 -0.000009 	 0.000007 	 0.000010 	 0.000001 	 -0.000000 	 -0.000001 
Lenwood - Lockhart - Old Woman Springs      	 -116.984000 	 34.807000 	 307.000000 	 -0.000800 	 -0.001000 	 -0.000600 	 -0.000000 	 -0.000200 	 0.000200 	 0.000385 	 0.000288 	 0.000481 	 0.000510 	 0.000383 	 0.000638 	 -0.000290 	 -0.000217 	 -0.000362 	 -0.000385 	 -0.000288 	 -0.000481 
Lions Head 2011 CFM                         	 -120.588300 	 34.856500 	 295.000000 	 0.000000 	 0.000051 	 -0.000051 	 -0.000018 	 0.000034 	 -0.000069 	 -0.000003 	 0.000006 	 0.000001 	 -0.000007 	 0.000012 	 0.000002 	 -0.000007 	 0.000012 	 0.000002 	 -0.000015 	 0.000026 	 0.000004 
Little Lake                                 	 -117.902000 	 35.917000 	 321.000000 	 -0.000600 	 -0.000700 	 -0.000500 	 -0.000000 	 -0.000100 	 0.000100 	 0.000293 	 0.000245 	 0.000342 	 0.000238 	 0.000198 	 0.000277 	 -0.000362 	 -0.000302 	 -0.000423 	 -0.000293 	 -0.000245 	 -0.000342 
Little Salmon (Onshore)                     	 -124.190000 	 40.660000 	 333.000000 	 0.000000 	 -0.000500 	 0.000500 	 -0.001992 	 -0.002492 	 -0.001492 	 -0.001581 	 0.001238 	 0.001925 	 -0.000806 	 0.000631 	 0.000981 	 -0.000806 	 0.000631 	 0.000981 	 -0.000411 	 0.000321 	 0.000500 
Little Salmon (Onshore)                     	 -124.190000 	 40.660000 	 333.000000 	 0.000000 	 -0.002100 	 0.002100 	 -0.003984 	 -0.006084 	 -0.001884 	 -0.003163 	 0.001719 	 0.004606 	 -0.001611 	 0.000876 	 0.002347 	 -0.001611 	 0.000876 	 0.002347 	 -0.000821 	 0.000446 	 0.001196 
Los Osos 2011                               	 -120.867000 	 35.302100 	 90.000000 	 0.000000 	 -0.000100 	 0.000100 	 -0.000212 	 -0.000312 	 -0.000112 	 0.000000 	 0.000000 	 0.000000 	 -0.000000 	 -0.000000 	 -0.000000 	 0.000000 	 -0.000000 	 -0.000000 	 -0.000212 	 0.000141 	 0.000283 
Mad River - Trinidad fault zone (alt2)      	 -124.110000 	 40.930000 	 320.000000 	 0.000000 	 -0.000600 	 0.000600 	 -0.002130 	 -0.002730 	 -0.001530 	 -0.001250 	 0.000961 	 0.001538 	 -0.001049 	 0.000807 	 0.001291 	 -0.001049 	 0.000807 	 0.001291 	 -0.000880 	 0.000677 	 0.001083 
Malibu Coast alt 1                          	 -118.728300 	 34.035000 	 275.000000 	 0.000026 	 0.000011 	 0.000041 	 -0.000004 	 -0.000019 	 0.000011 	 -0.000002 	 -0.000001 	 -0.000003 	 -0.000026 	 -0.000013 	 -0.000038 	 -0.000000 	 0.000000 	 0.000001 	 -0.000002 	 0.000003 	 0.000009 
Malibu Coast alt 1                          	 -118.764600 	 34.033890 	 270.000000 	 0.001299 	 0.000799 	 0.001799 	 -0.000194 	 -0.000694 	 0.000306 	 0.000000 	 0.000000 	 0.000000 	 -0.001299 	 -0.000866 	 -0.001732 	 0.000000 	 -0.000000 	 -0.000000 	 -0.000194 	 0.000129 	 0.000259 
